Tom can't come in.	Tom kać bolo daea.
My house is far away.	Ańaḱ Oaḱ esu saniṅ rea.
Its evidence today is found in the hymns of the Rigveda.	Ena reaḱ Evidence Rigveda reaḱ Hymn kore namoḱa.
Pasteur experimented with bacteria.	Pasteur do Bacteria loḱć experiment ket́a.
It cannot plausibly be argued that behaviour of such complexity derives entirely from instinct.	Enkan complex Behaviour do goṭa Instinct sekar te ooḱl akana -mente plausibly ká argue daeoḱa.
What's he doing over there?	Enić han re chenać chika tana?
How do you say XXX in Dutch?	XXX, nena Dutch te chilikakô menea?
I have food.	Ań taḱ jomê teaḱ menaḱa.
The villagers weren't friendly.	Hatu ren ko do, japagar jupuḍi lekann ko do kakô tae kena.
Where are we right now?	Nahḱ do okontaḱ rebua?
I will be back soon.	Anjaa geń ruaaa.
The village is really close.	Hatu do naać rená rea.
Take this Kabyle dress and put it on.	Nen Kabyle Lijaḱ idi keet́, tusiṅê me.
With seven of the world's top 15 information technology outsourcing companies based in India, as of 2009, the country is viewed as the second-most favourable outsourcing destination after the United States.	Otesaiaḱ Top 15 Information Technology Outsourcing Company re aiea do India rege base akan loḱ, 2009 reaḱ Data lekate, India do United States tayom baáraḱ Most Favorable Outsourcing Destination leka nel akana.
Goodbye!	Bugi te senoḱ ben!
That's a nice village.	Esu bugi lekan Hatu ena.
Bacteria can also be used in place of pesticides in biological pest control.	Bacteria kodo Biological Pest Control re Pesticide ko satikô agujoṅ daeoḱa.
Do you like ginger?	Ada m sukutea?
In this period, people from across the political spectrum espoused eugenic ideas.	Nen period re, across political spectrum ren ko saben eugenic idea ko espouse let́ taekena.
They are sometimes the subjects of folklore and legends, often portrayed as having been raised by animals.	Enko ge misa misa kodo Folklore,, Legend ko ren Subject akanakô, often do, Birjivt́ ko hara maraṅ ken gekô portray akana.
I love you.	Abeneń sukua tana.
They said that they've been very busy.	Paeṭi rele akaratiń akan gea' -mentekô kaji ket́a.
This is not a sentence.	Nena Sentence kaa tana.
Yes.	Ea.
That disease is caused by bacteria.	En Rua do Bacteria te hoba akana.
Embracing a strong Shaivite tradition and building upon the military technology of the sultanate, the empire came to control much of peninsular India, and was to influence South Indian society for long afterwards.	Strong Shaivite tradition otoṅê loḱ, anḍoḱ sultanate aḱ military technology aete bai rakabê loḱ nen empire te goṭa noḱ peninsular India control eana, anḍoḱ tayom do sipirmaoḱ ge South India ren society influence eana.
I want vodka.	Vodka honaṅ.
It looks quite different around here than it used to.	Nepaa ko ayar aete taṅan noḱ neloḱa.
With its average annual GDP growth rate of 5.8% over the past two decades, and reaching 6.1% during 2011–2012, India is one of the world's fastest-growing economies.	Maná hisi sirma re Average Annual GDP Growth Rate 5.8% taeken loḱ,, 2011–2012 re 6.1% beṭa ken loḱ, India do Otesai Fastest Growing Economy re lekaoḱa.
We are eating.	Jom tanaliñ.
Where do you come from?	Am okon renić?
I want to eat.	Jom sukuń tana.
Are you sure?	Sari ge chi?
Do you think that you can do that for us?	Ena dom paeṭi daeabu lekam adaêa?
Man has many wishes that he does not really wish to fulfil, and it would be a misunderstanding to suppose the contrary. He wants them to remain wishes, they have value only in his imagination; their fulfilment would be a bitter disappointment to him. Such a desire is the desire for eternal life. If it were fulfilled, man would become thoroughly sick of living eternally, and yearn for death.	Hoo taḱ re sari te kać puráê sanaṅ lekan sange Sanaṅ ko menaḱa, anḍoḱ nena reaḱ Sirkat́kaji mensarinn teaḱ do Misunderstanding ge. Enako Sanaṅ lekage tae akanoḱkâ -menteć sanaṅà, enako reaḱ Value do aćaḱ Imagination re sekar menaḱa; enako reaḱ Fulfilment do aćaḱ lagit́ mér-heben Dissapointment ge. Joroṅjinivt́ reaḱ Desire do enkan miat́ Desire ge. Ena purá ean re, hoo do joroṅ-joroṅ jivt́ jivt́ teć mukuń chabaoḱa, anḍoḱ Gonoć ge nel tangià.
We help them.	Akobu dengakoa.
Where does it hurt?	Okontaḱ hasupe tana?
Ancient India	Ancient India
Mary told Tom that she thought John was unconscious.	John doć at́suti akan lekań adaêa' -mente Mary Tom taḱ reć kaji ket́a.
You look very tired.	Esu laga akan geben neloḱ tana.
In truth, a man who renders everyone their due because he fears the gallows, acts under the sway and compulsion of others, and cannot be called just. But a man who does the same from a knowledge of the true reason for laws and their necessity, acts from a firm purpose and of his own accord, and is therefore properly called just.	Sari te ma, Hakagoćpai boro te saben ko ako namê teaḱ emakô tanić do, eṭaḱ koaḱ Sway,, Compulsion te enkać paeṭiê tana, enić just do kać meta daeoḱa. Law taenn reaḱ sari-sari Reason anḍoḱ ena reaḱ Necessity chirgal keet́ enka paeṭiê nić mendo, miat́ keṭeć Purpose te anḍoḱ aćaḱ Sanaṅ te ge enkać paeṭiêa, enamente enić properly ge just menteć meta daeoḱa.
Tom has committed suicide.	Goćenn eanać Tom.
I want to learn.	Etonn sukuń tana.
Act like adults.	Maraṅ ko leka taenn me.
India is ranked 40th in the Global Innovation Index in 2023.	2023 sirma, India do Global Innovation Index re 40aḱ Rank re menaḱa.
In fact, his Bacterium was a genus that contained non-spore-forming rod-shaped bacteria, as opposed to Bacillus, a genus of spore-forming rod-shaped bacteria defined by Ehrenberg in 1835.	In fact, aćaḱ Bacterium do non-spore forming Rod-shaped Bacteria ko mesa ken Genus ge, 1835 re Ehrenberg define let́ Baccilus menoḱ spore-forming Rod-shaped Bacteria aete tannga.
They made her believe their lies.	Akoaḱ Chakat́kaji kokô sari ichi ket́ića.
It'll break.	Raput́oḱa.
The 522-million-worker Indian labour force is the world's second-largest, as of 2017.	2017 jooṅ re, 522 Million Worker ann Indian Labour Fource do Otesai reaḱ baáraḱ-maraṅaḱ tana.
Is that difficult to do?	Ena do hambal Paeṭi chi?
Sami returned to the village.	Sami Hatuć ruaa eana.
This understanding of bacterial metabolism and genetics allows the use of biotechnology to bioengineer bacteria for the production of therapeutic proteins, such as insulin, growth factors, or antibodies.	Bacteria koaḱ Metabolism onḍoḱ genetics reaḱ nelekan Urumsẽa te, Biotechnology horate Bacteria ko Insulin,, Growth Factor baredo Antibody lekan Therapeutic Protein ko baái lagit́kô bioengineer daeoḱa.
In the late Vedic period, around the 6th century BCE, the small states and chiefdoms of the Ganges Plain and the north-western regions had consolidated into 16 major oligarchies and monarchies that were known as the mahajanapadas.	600 BCE naećpaa, late-Vedic-period re, Ganga gaṛa Plain anḍoḱ north-western Region ren hupuṛiṅ state anḍoḱ chiefdom ko do, mahayenapada ko menoḱ 16 major oligarchy anḍoḱ monarchy baioḱ ge consolidate ean taekena.
India's land is megadiverse, with four biodiversity hotspots.	4 Biodiversity Hotspot ko menaḱ loḱ te, India aḱ ote do megadiverse gea.
India, officially the Republic of India (ISO: Bhārat Gaṇarājya), is a country in South Asia.	India, official nutum Republic of India (Bhārat Gaṇarājya), do South Asia reaḱ miat́ disum tana.
Where are you from?	Aben okon renkin?
Defenestrate your clock to see how time flies.	Time chilika apira mente nelê lagit́ amaḱ Clock Window hora hudumaê me.
I think about her often.	Négapa aćń uṛuḱa.
Even Tom smiled.	Tom jaket́eć landa noḱ ket́a.
Do you think Tom will reach the top of the mountain?	Tom Buruchuṭić beṭaê lekam adaić tana?
I think we should keep an eye on Tom.	Tom dobu nel akaać re bugioḱań menea.
Come eat!	Dola jomê pe!
The village was burnt down.	Hatu uruṕ chaba eana.
Did you know that Tom was going to Australia with Mary?	Tom do Mary loḱ Australia ć senoḱ taekena menteaḱ dom adaan taekena chi?
The caste system consequently began to show regional differences.	Enate, caste society re regional difference ko nelnam eana.
Because of their specificity, these pesticides are regarded as environmentally friendly, with little or no effect on humans, wildlife, pollinators, and most other beneficial insects.	Nen Pesticide ko do hoo ko,, Birjivt́,, Pollinator,, eṭaḱ Beneficial Chidu ko re Effect do jokoć ge baredo banoḱ te, akoaḱ Specificity lagit́, Environmentally Friendly kô menoḱa.
Ziri saw the destroyed village.	Ziri raput́ chaba akan Hatuć nel ket́a.
Bacteria are everywhere.	Bacteria do goṭamuli menaḱkôa.
Bounded by the Indian Ocean on the south, the Arabian Sea on the southwest, and the Bay of Bengal on the southeast, it shares land borders with Pakistan to the west; China, Nepal, and Bhutan to the north; and Bangladesh and Myanmar to the east.	South re Indian Ocean, southwest re Arabian Sea, southeast re Bay of Bengal menaḱa. West re Pakistan, North paa China, Nepal anḍoḱ Bhutan, east paa Bangladesh anḍoḱ Myanmar loḱ chirmit́ menaḱa. Indian Ocean ren Sri Lanka, Maldives naeć re menaḱa.
Do you understand me?	Ańaḱ Kajipe toḱ ket́a chi kaa?
Can I help you?	Dengameań?
Are you a student?	Iskul tanape?
While there are many cases of children being found in proximity to wild animals, there are no eyewitness accounts of animals feeding human children.	Birjivt́ ko japaḱ re Hon ko nam akan sange case ko menaḱ reó, Birjivt́ ko Hon kokô asulkô tan reaḱ Nenelmet́kanatai (eyewitness account) ko banoḱa.
Tell her that I am in a taxi.	Taxi re menaḱńa mente kajiać me.
Tom isn't a big talker.	Tom imin do kać jagar baaà.
Typically a few micrometres in length, bacteria were among the first life forms to appear on Earth, and are present in most of its habitats.	Jitiliṅ do typically chiminaṅ ge micrometer hoban Bacteria ko do, Ote chetan nel ean ayarùtar Life-form ko loḱkô lekaoḱa, anḍoḱ Ote ren sanam Habitat ko re menaḱkoa.
The village needs your help.	Hatu ren ko amaḱ Dengakô asitińoḱ tana.
Fertiliser was added to some of the beaches in Prince William Sound in an attempt to promote the growth of these naturally occurring bacteria after the 1989 Exxon Valdez oil spill.	1989 ren Exxon Valdez Sunumnur tayom, Prince William Sound ren chiminaṅ Kuṭigitil kore nelekan naturally namoḱ Bacteria ko sangeoḱka mente Fertiliser kô em let́ taekena.
Those who want to stay can stay.	Taenn sukukô tan kokô tae daea.
The oceans and seas harbour around 3 x 1026 bacteria which provide up to 50% of the oxygen humans breathe.	Ocean,, Sea kore, hoo ko saet́ê 50% Oxygen eém tan 3 x 1026 leka Bacteria ko taena.
Indian epic poetry anḍoḱ India aḱ Constitution banar re ol akan nutum Bharat (Bhārat; pronunciation: [ˈbʱaːɾət]) do, enaaḱ variation ko loḱ sapange Indian language kore ol kaji joṅoḱa.	The term Bharat (Bhārat; pronounced [ˈbʱaːɾət] ⓘ), mentioned in both Indian epic poetry and the Constitution of India, is used in its variations by many Indian languages
You are at home.	Oaḱ re menaḱmea.
I don't think that Tom is still willing to do that.	Tom nahḱ ó enać paeṭi sanaṅ tan leka do kań adaića.
No.	Kaa.
Muslim armies from Central Asia intermittently overran India's northern plains, eventually founding the Delhi Sultanate, and drawing northern India into the cosmopolitan networks of medieval Islam.	Central Asia aeten Muslim army ko intermittenly India aḱ north-plain ko attack ê taekena, eventually Delhi Sultanate ko bai bit́ ket́a, anḍoḱ enkate north-India do medieval Islam aḱ cosmopolitan Sikuar (Network) loḱkô or mesa ket́a.
I think we'll get off at the next station.	Hućoḱ Station rebu aaguna toraṅeń menea.
My name's Jack.	Ańaḱ Nutum do Jack.
Come dance!	Dola susun me!
Tom has a Ford.	Tom taḱ Ford menaḱa.
What are you looking at?	Chenaḱm nel tana?
Has Tom stayed here before?	Tom ayar ko nentaḱ reć tae akana chi?
You worked more than I did.	Ań aete láḱm paeṭi ket́a.
She smiled.	Landa ket́ać.
I'm tired.	Laga eanań.
"One of the best-documented cases has supposedly been that of sisters Amala and Kamala, described by Reverend J A L Singh in 1926 as having been ""raised by wolves"" in a forest in India."	"Kajioḱ lekate, best-documented Case kore miat́ do, India aḱ Bir re ""Ṭẽoḱ ko asul kena"" mente 1926 re Reverend J A L Singh kaji sartal ken Amala,, Kamala Unḍiboko kin."
You danced.	Susun kenape.
They live on and in plants and animals.	Enko do Sińjivt́,, Senêjivt́ ko chetan,, bitar ko taena.
I'm going to go.	Senoḱań.
We are eating.	Jom tanaliṅ.
Constituted in such fashion, India lies to the north of the equator between 6° 44′ and 35° 30′ north latitude and 68° 7′ and 97° 25′ east longitude.	Neleka bai akan India do, 6° 44′,, 35° 30′ north latitude anḍoḱ 68° 7′,, 97° 25′ east longitude tala re equator aete north re menaḱa.
Tom is looking for a vending machine.	Tom do Vending Machine eć nel baa tana.
Why are you angry?	Chikatem kurkur akana?
Are you a student?	Paṛao tanam?
Don't worry. Everything is going well.	Alam uṛuḱoḱa. Sabenaḱ bugin ge sesen tana.
Tom goes to school by bus and train.	Tom Bus te anḍoḱ Train te School eć sena.
When do you have to go to school again?	School do anḍoḱ misa chenaḱmentem senoḱ te hoban tana?
What are you eating?	Chenaḱm jom tana?
You're not the only one who doesn't believe Tom.	Tom aḱ Kaji ká sarioḱnić am sekar ge do káa.
Temple towns of various sizes began to appear everywhere as India underwent another urbanisation.	India re anḍoḱ misa hoban tan urbanisation loḱ epeṭaḱ size ren temple town ko saben muli nelnam eana.
I eat fish every week.	Jao Háṭ Hać Jiluń joóma.
Where are you?	Okon rema?
Have you finished washing the dishes?	Bela kom gasar chaba ket́a chi?
Twenty-two languages ​​are included in the eighth schedule of India.	India aḱ Irilaḱ Schedule re hisibar Janagar ko ol mesa akana.
Can I take a picture of you?	Photo pe redoń?
After Lister, however, doctors started sanitising their hands in the 1870s.	Lister tayom mendo, 1870 kore Doctor ko tako Tíkô sanitise eṭeć ket́a.
In the early 16th century, northern India, then under mainly Muslim rulers, fell again to the superior mobility and firepower of a new generation of Central Asian warriors.	Eteoṕaḱ 16th century re mainly Muslim ruler ko suba re taeken northern India, anḍoḱ misâ superior mobility anḍoḱ firepower an Central Asian warrior koaḱ nama generation taḱaete haratiṅ eana.
Are they in Paris?	Pars rekoa chi?
Everyone cries.	Saben ko raáḱa.
What is your name?	Amaḱ Nutum chenaḱa?
For about 3 billion years, most organisms were microscopic, and bacteria and archaea were the dominant forms of life.	3 Billion Serma noḱ lagit́, láḱpaa Jivt́aḱ (Organism) ko do man-man gekô taekena, Bacteria anḍoḱ Archaea ge dominant Jivt́form do.
Come here.	Hućoḱ me nente.
Layla hasn't been pregnant before.	Layla ayar ko Homoo paa re kać tae akana.
They said they thought I looked hungry.	Rengeć akan lekakô neliń taekenakô men.
Millions of people perished to the famine.	Ringa re million-million hoo ko goć eana.
The whole village was there.	Goṭa Hatu ren ko tae kena entaḱ.
Let's go!	Dolaṅ!
The rights promised to Indians were granted slowly, but technological changes were introduced, and modern ideas of education and the public life took root.	India renko taḱ promise len rights ko do mãe mãe te em eana, mendo technological-change ko introduce eana, anḍoḱ education anḍoḱ public-life reaḱ modern-idea ko bit́ keṭeć eana.
By 1200 BCE, an archaic form of Sanskrit, an Indo-European language, had diffused into India from the northwest.	1200 BCE loḱ re do, miat́ Indo-European Language Sanskrit aḱ mari Oṛoṅ (Form), northwest aete India re diffuse len taekena.
The soldier was killed in action.	En Soldier do War reć goć eana.
Antibiotics are used to treat bacterial infections and are also used in farming, making antibiotic resistance a growing problem.	Bacteria Ruachal (Bacterial Infection) buúgin re agujoṅoḱ Antibiotics kodo, Farming reó agujoṅoḱ te Antibiotic Resistance miat́ Growing Problem akana.
Child psychologist Bruno Bettelheim states that Amala and Kamala were born mentally and physically disabled.	Amala,, Kamala do hataṅhomoo disable akan gekin unduṕ lena mente Honkopsychologist Bruno Bettelheim kaji akat́a.
Adriano wandered into the village.	Adriano Hatuć honor bolo eana.
He then published his observations in a series of letters to the Royal Society of London.	Entayom aćaḱ Observation ko do Royal Society of London taḱ te kul let́ Letter Series horateć publish ket́a.
Your explanation sounds plausible, but it just doesn't hold water.	Amaḱ Explanation do ayum te Plausible gea, ena mendo patioḱ leka banoḱ renáa.
She got first prize, didn't she?	First Prize eć nam ket́a, kachia?
I'm writing about Western Sahara. Try and stop me.	Western Sahara reaḱń olê tana. Hoka daeań redom mar.
Please give that to me.	Enam emań re bugioḱa.
The soil is a rich source of bacteria and a few grams contain around a thousand million of them.	Hasa do rich Bacteria Nampai (Source) tana, chiminaṅ gram rege Thousand Million lekakô taena.
Could you send me a picture?	Miat́ Photo ben kul daeaeńa?
Tom agreed that it might happen.	Ena hobaó hoba daeoḱa mente Tom ea ket́ać.
The book is on the table.	Kitaṕ Table chetan rea.
I miss you.	Ameń uṛuḱ tana.
Tom often wears black.	Tom hende teaḱ ko geć tusiṅ baaêa.
India has substantially reduced its rate of poverty, though at the cost of increasing economic inequality.	Increasing-economic-inequality reaḱ Gonoṅ em keet́ India reaḱ poverty-rate do substantially adit́ (reduce) akana.
Do you want to rest?	Jiraonam?
Why are you laughing?	Chikatepe landaê tana?
Where is Tom?	Tom okon rića?
India has two archipelagos: the Lakshadweep, coral atolls off India's south-western coast; and the Andaman and Nicobar Islands, a volcanic chain in the Andaman Sea.	India re barea Archipelago menaḱa: India aḱ south-west Patukâm Kuṭi ren coral Atoll tan Lakshadweep; anḍoḱ Andaman Honpatukâm ren Sengelburu Chain Andaman Nicobar Island ko.
As you say.	Aben kajiê leka ge.
Come here.	Ela.
Look at this!	Neè nelê me!
Lift it up.	Chetanê pe.
I like to walk in the rain.	Gama re sen sukuńa.
These parallel chains run from the Arabian Sea coast in Gujarat in the west to the coal-rich Chota Nagpur Plateau in Jharkhand in the east.	Ena reaḱ parallel chain ko do west re Gujrat ren Arabian Sea coast aete, east ren Jharkhand aḱ coal-rich Chota Nagpur Plateau jooṅ bil akana.
Hello!	Chia!
My boyfriend works at a language school and loves it very much.	Ań jagarić Sepeet́ do miat́ Language School reć paeṭia, anḍoḱ ena esuć rãasatea.
From its pivotal role in mediating the Libyan crisis to its ongoing efforts in promoting stability in the Sahel region, Algeria has exemplified the power of dialogue in fostering sustainable peace and mitigating the impact of conflicts on civilian populations.	Libya aḱ Crisis tala duúḱ re akoaḱ Pivotal Role taeken aete Sahel Region re Stability udur tersa re akoaḱ nahḱ sesen tan Kurumuṭu jooṅ, Algeria ren ko do, sustain daeoḱ Peace usa tersa re anḍoḱ Civilian Population chetan Gopoćdaparom ko reaḱ Etelaṅ adit́ raábal re Japagar reaḱ Peećkô exemplify akat́a.
You are in my heart.	Ańaḱ Jibon re menaḱmea.
Where are you going?	Okotn tepe sen tana?
Yanni is the village chief.	Yanni do Hatu Munḍa.
During the 1930s, slow legislative reform was enacted by the British; the Indian National Congress won victories in the resulting elections.	1930 ko re, British ko mãe mãe ten Legislative Reform ko enact ket́a; ena te hoba ean Election ko re Indian National Congress dae eana.
Eschewing tribal bonds and Islamic identity, especially under Akbar, the Mughals united their far-flung realms through loyalty, expressed through a Persianised culture, to an emperor who had near-divine status.	Mughal ko, especially Akbar suba re, tribal bond anḍoḱ Islamic identity bage keet́, Persianised culture te near-divine status menaḱ tan emperor chetan re em len loyalty te, akoaḱ osar saniṅ ote chirmit́ ko unite ket́a.
It is the seventh-largest country by area; the most populous country as of June 2023; and from the time of its independence in 1947, the world's most populous democracy.	June 2023 jooṅ re nena do Area lekate 7 aḱ maraṅ disum; anḍoḱ saben ko aete láḱ population an disum tana; anḍoḱ 1947 sirma re independence aete nena do world reaḱ saben aete láḱ population an democracy tana.
Our school is in this village.	School tale nen Hatu rea.
Look at this!	Neè nelê pe!
These towels have different colors.	Nen Towel ko eṭaḱ ge net́ana.
To learn to swim I have to get in the water, otherwise I don't learn anything.	Oyar etonn lagit́ Daḱ reń aagunn te hobana, jahnaḱ kań etoêa baredo.
Most of the bacteria in and on the body are harmless or rendered so by the protective effects of the immune system, and many are beneficial, particularly the ones in the gut.	Homoo cheten,, bitar ren láḱpaa Bacteria dokô harmless gea, káakô reó ge, Immune System aḱ protective Effect tekô enka akana, sange dokô beneficial gea, particularly Láć Poṭa ren ko.
British Crown rule began in 1858.	British Crown rule 1858 re eoṕ eana.
Does Tom know French?	Tom French eć etoana chi?
By the 8th and 9th centuries, the effects were felt in Southeast Asia, as South Indian culture and political systems were exported to lands that became part of modern-day Myanmar, Thailand, Laos, Brunei, Cambodia, Vietnam, Philippines, Malaysia, and Indonesia.	8th anḍoḱ 9th century loḱ do, South India reaḱ culture anḍoḱ political sysem ko tisiṅaḱ Myanmar, Thailand, Laos, Brunei, Cambodia, Vietnam, Philippines, Malaysia anḍoḱ Indonesia re mesa ean disum ko te export ean loḱ te ena ko reaḱ epelaṅ Southeast Asia re nel eana.
Model your manners on his.	Sepentapae ko tać eto otoṅê me.
Do you want to eat?	Jomêaben?
The sultanate's raiding and weakening of the regional kingdoms of South India paved the way for the indigenous Vijayanagara Empire.	Sultanate aḱ raid ko te, anḍoḱ weak oḱ tan South India ren regional kingdom ko te indigenous Vijayanagara Empire aḱ hora bai eana.
He's not breathing!	Kać saet́ê tana!
Don't go near this dog.	Nen Seta japaḱ alam sena.
I like toasts very much.	Toast esuń sukutea.
He was in his room.	Taćaḱ Room reć taekena.
This aim of understanding the biochemistry of a cell reaches its most complex expression in the synthesis of huge amounts of enzyme kinetic and gene expression data into mathematical models of entire organisms.	Miat́ Jivt́okoa reaḱ Biochemistry urum bodeê teaḱ Aim do, sange-sange Enzyme Kinetic,, Gene Expression Data kin synthesis keet́ goṭa Jivt́aḱ reaḱ Mathematical Model ko baái re complex utar leka express oḱa.
I think Mary's skirt's too long.	Mary aḱ Skirt jiliṅ láḱ geań menea.
Nice to meet you.	Aben loḱ napameń rãasa eana.
They're awake.	Evn akanakô.
My car broke down this morning and it can't be repaired until Friday.	Ańaḱ Car tisiṅg setaḱ õa eana, anḍoḱ Friday ayarte ká bai uraa daeoḱa.
Where are you?	Okon rebena?
You've gained weight.	Hambal eanaben.
It's cold.	Rabaṅ tana.
This renewal was reflected in a flowering of sculpture and architecture, which found patrons among an urban elite.	Nen Namasanaṕ do urban Elite ko patronize let́ sculpture anḍoḱ architecture re reflect eana.
Do you live here?	Nenrepe taena?
After 6500 BCE, evidence for domestication of food crops and animals, construction of permanent structures, and storage of agricultural surplus appeared in Mehrgarh and other sites in Balochistan, Pakistan.	6500 BCE tayom, Mehrgarh anḍoḱ Pakistan aḱ Balochistan ren eṭaḱ site kore, food-corps anḍoḱ animal koaḱ domestication, permanent-structure ko reaḱ banai, anḍoḱ agricultural-surplus-storage reaḱ evidence nelnam eana.
I like you.	Abeneń sukua tana.
I want to dance.	Susun sukuń tana.
She is at home.	Oaḱ rića.
Are you a student?	Paṛao tanaben?
Though ranking 68th in global competitiveness, as of 2010, India ranks 17th in financial market sophistication, 24th in the banking sector, 44th in business sophistication, and 39th in innovation, ahead of several advanced economies.	Global Competitiveness re 68aḱ Rank re menaḱ reó ge, 2010 reaḱ Data lekate, India aḱ do, chiminaṅ Advanced Economy ko aete ó láḱ parom, Financial Market Sophistication re 17aḱ Rank, Banking Sector re 24aḱ Rank, Bussiness Sophistication re 44aḱ Rank anḍoḱ Innovation re 39aḱ Rank menaḱa.
Do you live here?	Nentaḱ repe taena?
The next decade was beset with crises: Indian participation in World War II, the Congress's final push for non-co-operation, and an upsurge of Muslim nationalism.	En tayomaḱ 10 sirma do Crisis kote toḱ lena: World War II re India ren koaḱ Menesa, Non-Cooperation lagit́ Congress aḱ chapanaṕ unuskur, anḍoḱ Muslim Nationalism reaḱ pair Ranakaṕ.
By repeatedly repulsing Mongol raiders in the 13th century, the sultanate saved India from the devastation visited on West and Central Asia, setting the scene for centuries of migration of fleeing soldiers, learned men, mystics, traders, artists, and artisans from that region into the subcontinent, thereby creating a syncretic Indo-Islamic culture in the north.	13th century re nen sultanate iate, dao ge dao Mongol raider ko darom kôl ean te, India save eana West anḍoḱ Central Asia re hoba ean devastation aete, nena ko te ge tayom en Region aete nir tan soldier, scholar, mystic, trader, artist, artisan ko chiminaṅ century subcontinent te ko migrate hućoḱ teaḱ hora bai eana, enate ge north re syncretic Indo-Islamic culture bai eana.
You danced.	Susun kenam.
I know you are struggling.	Kurumuṭunn tanabeneń adaana.
What's his name?	Aćaḱ Nutum chenaḱa?
Are they in Paris?	Paris re menaḱkoa chi?
Where do you live?	Okon repe taena?
His ideas were rejected and his book on the topic condemned by the medical community.	Medical Community taḱ aćaḱ Idea ko reject eana, anḍoḱ nen Topic re aćaḱ Sapagom ko condemn eana.
The oligarchic character of the modern English commonwealth does not rest, like many oligarchies, on the cruelty of the rich to the poor. It does not even rest on the kindness of the rich to the poor. It rests on the perennial and unfailing kindness of the poor to the rich.	Modern English Commonwealth reaḱ oligarchic Character do, sapange Oligarchy ko leka Rengeć ko chetan Naiki koaḱ Cruelty chetan ká tingu akana. Ena ma Naiki ko Rengeć ko lagit́aḱ Kindness chetan reó ká tingu akana. Ena do Rengeć ko Naiki ko lagit́aḱ perennial anḍoḱ ká-fail oḱ Kindness chetan re tingu akana.
Smile.	Landaê pe.
I am at school now and I will stay here until 8 o'clock.	Nahḱ School reńa anḍoḱ 8 saṛi jooṅ nenregeń taena.
The appointment in 1848 of Lord Dalhousie as Governor General of the East India Company set the stage for changes essential to a modern state.	1848 re Lord Dalhousie East India Company ren Governor General lekać appoint ean teaḱ te ge miat́ modern state baái ren essential change ko lagit́ stage bai eana.
Tom danced.	Tom susun kenać.
The Mughal state's economic policies, deriving most revenues from agriculture and mandating that taxes be paid in the well-regulated silver currency, caused peasants and artisans to enter larger markets.	Laaḱpaa revenue do agriculture aete hućoḱ tan, anḍoḱ tax do well-regulated silver-currency te emoḱ ka mente mandate taeken Mughal state aḱ economic policy iate peasant anḍoḱ artisan ko larger market tekô bolo eana.
I'm sorry.	Ika tańme.
Historians consider India's modern age to have begun sometime between 1848 and 1885.	Historian koaḱ menatiṅ lekate India reaḱ modern-age do 1848 anḍoḱ 1885 tala paa re eoṕ lena.
I met Tom at the airport.	Airport re Tom eń nam let́ića.
I wanna go!	Senoḱań!
Do you want to rest?	Jiraonape?
Bacteria were Leeuwenhoek's most remarkable microscopic discovery.	Leeuwenhoek aḱ Most Remarkable Discovery do Bacteria ge.
Can I help you?	Dengapeań?
Louder.	anḍoḱ keḍeć te.
The Sangam literature of the Tamil language reveals that, between 200 BCE and 200 CE, the southern peninsula was ruled by the Cheras, the Cholas, and the Pandyas, dynasties that traded extensively with the Roman Empire and with West and Southeast Asia.	200 BCE anḍoḱ 200 CE tala re, southern-peninsula do, Roman Empire anḍoḱ West anḍoḱ Southeast Asia loḱ extensive-trade taeken Chera ko, Chola ko, anḍoḱ Pandya dynasty ko rule let́ taekena mente Tamil language reaḱ Sangam literature re uduboḱ tana.
He eventually lived to the age of 80, but has also been reported as having died shortly after discovery.	Eventually 80 sirmaoḱ geć tae kena, nam ean tayom geć goć eana mente ó Report menaḱa mendo.
Come with me.	Hućoḱ pe ań loḱ.
He will get up soon.	Anjaa geć birit́ena.
How do you say XXX in Dutch?	XXX Dutch te chenaḱpe metaà?
Shut up!	Hapann pe!
The barometer is an instrument that measures atmospheric pressure, especially used to study climate and to determine altitudes.	Barometer do Atmosphere reaḱ Pressure uúmaa Sanaṕ, especially do Climate reaḱ Study re anḍoḱ Altitude urum saṕ Paeṭi re hućoḱa.
I want to go.	Senoḱ sukuń tana.
What are you laughing at?	Chenaḱm landa tana?
Do you want to help?	Dengańaben?
Let's celebrate!	Dolaṅ poroṕêa!
I am at school now and I will stay here until 8 o'clock.	Nahḱ School re menaḱńa anḍoḱ 8 saṛioḱ jooṅ nentaḱ regeń taena.
Everyone is entitled in full equality to a fair and public hearing by an independent and impartial tribunal, in the determination of his rights and obligations and of any criminal charge against him.	Saben ko ge, akoaḱ Rights, Obligation anḍoḱ ako chuúnḍul Criminal Charge ko chirgalsarioḱ tan re, independent anḍoḱ impartial Tribunal re, Full Equality loḱ fair anḍoḱ public Hearing namê teaḱkô tala akat́a.
Do you want to eat?	Jomêam?
Description.	Description.
What would you like to eat?	Chenaḱpe jomêa?
Elementary and primary school children don't yet know good from evil or reality from fiction.	Elementary anḍoḱ Primary School ren Hon ko Buginaḱ anḍoḱ Et́kanaḱ chi Reality anḍoḱ Fiction aurikô urum adaana.
It is expected to grow to US$3,264 by 2026.	Ena 2026 loḱ do US$3,264 jooṅ ayar tersana mente Expectation menaḱa.
He burned the village.	Hatuć atar ket́a.
